"Year","ICM location","Medalists[21]","Affiliation(when awarded)","Affiliation(current/last)","Reasons"
1978,"Helsinki, Finland","Grigori Margulis","Moscow State University, USSR","Yale University, US[60]","""Provided innovative analysis of the structure of Lie groups. His work belongs to combinatorics, differential geometry, ergodic theory, dynamical systems, and Lie groups.""[58]"
1978,"Helsinki, Finland","Daniel Quillen","Massachusetts Institute of Technology, US","University of Oxford, UK[61]","""The prime architect of the higher algebraic K-theory, a new tool that successfully employed geometric and topological methods and ideas to formulate and solve major problems in algebra, particularly ring theory and module theory.""[58]"
1982,"Warsaw, Poland","Alain Connes","Institut des Hautes Études Scientifiques, France","Institut des Hautes Études Scientifiques, France
Collège de France, France
Ohio State University, US[62]","""Contributed to the theory of operator algebras, particularly the general classification and structure theorem of factors of type III, classification of automorphisms of the hyperfinite factor, classification of injective factors, and applications of the theory of C*-algebras to foliations and differential geometry in general.""[63]"
1982,"Warsaw, Poland","William Thurston","Princeton University, US","Cornell University, US[64]","""Revolutionized study of topology in 2 and 3 dimensions, showing interplay between analysis, topology, and geometry. Contributed idea that a very large class of closed 3-manifolds carry a hyperbolic structure.""[63]"
1982,"Warsaw, Poland","Shing-Tung Yau","Institute for Advanced Study, US","Harvard University, US[65]","""Made contributions in differential equations, also to the Calabi conjecture in algebraic geometry, to the positive mass conjecture of general relativity theory, and to real and complex Monge–Ampère equations.""[63]"
1986,"Berkeley, US","Simon Donaldson","University of Oxford, UK","Imperial College London, UK[66]Stony Brook University, US[67]","""Received medal primarily for his work on topology of four-manifolds, especially for showing that there is a differential structure on euclidian four-space which is different from the usual structure.""[68]"
1986,"Berkeley, US","Gerd Faltings","Princeton University, US","Max Planck Institute for Mathematics, Germany[69]","""Using methods of arithmetic algebraic geometry, he received medal primarily for his proof of the Mordell Conjecture.""[68]"
1986,"Berkeley, US","Michael Freedman","University of California, San Diego, US","Microsoft Station Q, US[70]","""Developed new methods for topological analysis of four-manifolds. One of his results is a proof of the four-dimensional Poincaré Conjecture.""[68]"
1990,"Kyoto, Japan","Vladimir Drinfeld","B Verkin Institute for Low Temperature Physics and Engineering, USSR[71]","University of Chicago, US[72]","""For his work on quantum groups and for his work in number theory."""
1990,"Kyoto, Japan","Vaughan F. R. Jones","University of California, Berkeley, US","University of California, Berkeley, US,[73]Vanderbilt University, US[74]","""For his discovery of an unexpected link between the mathematical study of knots – a field that dates back to the 19th century – and statistical mechanics, a form of mathematics used to study complex systems with large numbers of components."""
1990,"Kyoto, Japan","Shigefumi Mori","Kyoto University, Japan","Kyoto University, Japan[75]","""For the proof of Hartshorne’s conjecture and his work on the classification of three-dimensional algebraic varieties."""
1990,"Kyoto, Japan","Edward Witten","Institute for Advanced Study, US","Institute for Advanced Study, US[76]","""Time and again he has surprised the mathematical community by a brilliant application of physical insight leading to new and deep mathematical theorems.""[77]"
1994,"Zurich, Switzerland","Jean Bourgain","Institut des Hautes Études Scientifiques, France","Institute for Advanced Study, US[78]","""Bourgain's work touches on several central topics of mathematical analysis: the geometry of Banach spaces, convexity in high dimensions, harmonic analysis, ergodic theory, and finally, nonlinear partial differential equations from mathematical physics."""
1994,"Zurich, Switzerland","Pierre-Louis Lions","University of Paris 9, France","Collège de France, France
École polytechnique, France[79]","""... Such nonlinear partial differential equation simply do not have smooth or even C1 solutions existing after short times. ... The only option is therefore to search for some kind of ""weak"" solution. This undertaking is in effect to figure out how to allow for certain kinds of ""physically correct"" singularities and how to forbid others. ... Lions and Crandall at last broke open the problem by focusing attention on viscosity solutions, which are defined in terms of certain inequalities holding wherever the graph of the solution is touched on one side or the other by a smooth test function."""
1994,"Zurich, Switzerland","Jean-Christophe Yoccoz","Paris-Sud 11 University, France","Collège de France, France[80]","""Proving stability properties – dynamic stability, such as that sought for the solar system, or structural stability, meaning persistence under parameter changes of the global properties of the system."""
1994,"Zurich, Switzerland","Efim Zelmanov","University of Wisconsin-Madison University of Chicago, US","Steklov Mathematical Institute, Russia,
University of California, San Diego, US[81]","""For his solution to the restricted Burnside problem."""
1998,"Berlin, Germany","Richard Borcherds","University of California, Berkeley, US
University of Cambridge, UK","University of California, Berkeley, US[82]","""For his work on the introduction of vertex algebras, the proof of the Moonshine conjecture and for his discovery of a new class of automorphic infinite products."""
1998,"Berlin, Germany","Timothy Gowers","University of Cambridge, UK","University of Cambridge, UK[83]","""William Timothy Gowers has provided important contributions to functional analysis, making extensive use of methods from combination theory. These two fields apparently have little to do with each other, and a significant achievement of Gowers has been to combine these fruitfully."""
1998,"Berlin, Germany","Maxim Kontsevich","Institut des Hautes Études Scientifiques, France
Rutgers University, US","Institut des Hautes Études Scientifiques, France
Rutgers University, US[84]","""Contributions to four problems of geometry."""
1998,"Berlin, Germany","Curtis T. McMullen","Harvard University, US","Harvard University, US[85]","""He has made important contributions to various branches of the theory of dynamical systems, such as the algorithmic study of polynomial equations, the study of the distribution of the points of a lattice of a Lie group, hyperbolic geometry, holomorphic dynamics and the renormalization of maps of the interval."""
2002,"Beijing, China","Laurent Lafforgue","Institut des Hautes Études Scientifiques, France","Institut des Hautes Études Scientifiques, France[86]","""Laurent Lafforgue has been awarded the Fields Medal for his proof of the Langlands correspondence for the full linear groups GLr (r=1) over function fields."""
2002,"Beijing, China","Vladimir Voevodsky","Institute for Advanced Study, US","Institute for Advanced Study, US[87]","""He defined and developed motivic cohomology and the A1-homotopy theory of algebraic varieties; he proved the Milnor conjectures on the K-theory of fields."""
2006,"Madrid, Spain","Andrei Okounkov","Princeton University, US","Columbia University, US[88]","""For his contributions bridging probability, representation theory and algebraic geometry."""
2006,"Madrid, Spain","Grigori Perelman (declined)","None","St. Petersburg Department of Steklov Institute of Mathematics of Russian Academy of Sciences, Russia[89]","""For his contributions to geometry and his revolutionary insights into the analytical and geometric structure of the Ricci flow."""
2006,"Madrid, Spain","Terence Tao","University of California, Los Angeles, US","University of California, Los Angeles, US[90]","""For his contributions to partial differential equations, combinatorics, harmonic analysis and additive number theory."""
2006,"Madrid, Spain","Wendelin Werner","Paris-Sud 11 University, France","ETH Zurich, Switzerland[91]","""For his contributions to the development of stochastic Loewner evolution, the geometry of two-dimensional Brownian motion, and conformal field theory."""
2010,"Hyderabad, India","Elon Lindenstrauss","Hebrew University of Jerusalem, Israel
Princeton University, US","Hebrew University of Jerusalem, Israel[92]","""For his results on measure rigidity in ergodic theory, and their applications to number theory."""
2010,"Hyderabad, India","Ngô B<U+1EA3>o Châu","Paris-Sud 11 University, France
Institute for Advanced Study, US","University of Chicago, US
Vietnam Institute for Advanced Study, Vietnam[93]","""For his proof of the Fundamental Lemma in the theory of automorphic forms through the introduction of new algebro-geometric methods."""
2010,"Hyderabad, India","Stanislav Smirnov","University of Geneva, Switzerland","University of Geneva, Switzerland
St. Petersburg State University, Russia[94]","""For the proof of conformal invariance of percolation and the planar Ising model in statistical physics."""
2010,"Hyderabad, India","Cédric Villani","École Normale Supérieure de Lyon, France
Institut Henri Poincaré, France","Lyon University, France
Institut Henri Poincaré, France[95]","""For his proofs of nonlinear Landau damping and convergence to equilibrium for the Boltzmann equation."""
2014,"Seoul, South Korea","Artur Avila","University of Paris VII, France
CNRS, France
Instituto Nacional de Matemática Pura e Aplicada, Brazil","University of Zurich, Switzerland
Instituto Nacional de Matemática Pura e Aplicada, Brazil","""For his profound contributions to dynamical systems theory, which have changed the face of the field, using the powerful idea of renormalization as a unifying principle.""[96]"
2014,"Seoul, South Korea","Manjul Bhargava","Princeton University, US","Princeton University, US[97][98][99]","""For developing powerful new methods in the geometry of numbers, which he applied to count rings of small rank and to bound the average rank of elliptic curves.""[96]"
2014,"Seoul, South Korea","Martin Hairer","University of Warwick, UK","Imperial College London, UK","""For his outstanding contributions to the theory of stochastic partial differential equations, and in particular for the creation of a theory of regularity structures for such equations.""[96]"
2014,"Seoul, South Korea","Maryam Mirzakhani","Stanford University, US","Stanford University, US[100][101]","""For her outstanding contributions to the dynamics and geometry of Riemann surfaces and their moduli spaces.""[96]"
2018,"Rio de Janeiro, Brazil","Caucher Birkar","University of Cambridge, UK","University of Cambridge, UK","""For the proof of the boundedness of Fano varieties and for contributions to the minimal model program.""[102]"
2018,"Rio de Janeiro, Brazil","Alessio Figalli","Swiss Federal Institute of Technology Zurich, Switzerland","Swiss Federal Institute of Technology Zurich, Switzerland","""For contributions to the theory of optimal transport and its applications in partial differential equations, metric geometry and probability.""[102]"
2018,"Rio de Janeiro, Brazil","Peter Scholze","University of Bonn, Germany","University of Bonn, Germany","""For transforming arithmetic algebraic geometry over p-adic fields through his introduction of perfectoid spaces, with application to Galois representations, and for the development of new cohomology theories.""[102]"
2018,"Rio de Janeiro, Brazil","Akshay Venkatesh","Stanford University, US","Institute for Advanced Study, US[103]","""For his synthesis of analytic number theory, homogeneous dynamics, topology, and representation theory, which has resolved long-standing problems in areas such as the equidistribution of arithmetic objects.""[102]"
